	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.9504310344827587	0.5154351395730706	0.617816091954023	0.5086206896551725
1	0.9536637931034483	0.5280788177339901	0.5833333333333333	0.5229885057471264
2	0.9553216180371353	0.5858784893267652	0.6413793103448276	0.5712643678160918
3	0.959051724137931	0.5325944170771757	0.6005747126436781	0.5235632183908046
4	0.9579741379310345	0.6015051997810619	0.6390804597701149	0.614367816091954
5	0.9515086206896551	0.5872742200328408	0.6063218390804598	0.6063218390804598
6	0.959051724137931	0.5313628899835796	0.6321839080459771	0.5
7	0.9494363395225465	0.6132457580733445	0.6758620689655173	0.6252873563218391
8	0.9553216180371353	0.6076354679802957	0.7160919540229886	0.6137931034482759
9	0.9531664456233422	0.5768025078369906	0.6454022988505748	0.5580459770114943
