	precision	recall	f1-score	support
0	0.966743119266055	0.9988151658767772	0.9825174825174826	844.0
1	0.972972972972973	0.5538461538461539	0.7058823529411765	65.0
accuracy	0.966996699669967	0.966996699669967	0.966996699669967	0.966996699669967
macro avg	0.9698580461195141	0.7763306598614655	0.8441999177293296	909.0
weighted avg	0.9671885983540084	0.966996699669967	0.9627360926137863	909.0
