	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.9531664456233422	0.45993431855500816	0.6551724137931034	0.39252873563218393
1	0.9601293103448276	0.5050082101806239	0.6637931034482759	0.45344827586206904
2	0.958554376657825	0.5564860426929393	0.6724137931034483	0.5022988505747127
3	0.9655172413793104	0.5756431308155447	0.632183908045977	0.5591954022988507
4	0.9644396551724138	0.5602627257799672	0.6551724137931034	0.5229885057471265
5	0.9612068965517241	0.6165671493257701	0.6120689655172413	0.6829228243021347
6	0.960212201591512	0.6936084987809126	0.667816091954023	0.7689655172413792
7	0.9676724137931034	0.6261606209882072	0.6695402298850573	0.621264367816092
8	0.9671750663129973	0.5966064586754242	0.7097701149425287	0.5465517241379311
9	0.9698275862068966	0.7239737274220035	0.7517241379310345	0.7385057471264368
