	dev_accuracy	dev_f1	dev_precision	dev_recall
0	0.9517543859649122	0.37280701754385964	0.37134502923976603	0.39327485380116955
1	0.9627192982456141	0.29649122807017547	0.30701754385964913	0.3011695906432748
2	0.9515350877192982	0.3418128654970762	0.34210526315789475	0.36403508771929827
3	0.9550438596491229	0.34611528822055143	0.341374269005848	0.3713450292397661
4	0.9660087719298246	0.34649122807017546	0.34649122807017546	0.35526315789473684
5	0.9660087719298246	0.26549707602339184	0.2719298245614035	0.2704678362573099
6	0.9638157894736842	0.37134502923976603	0.37280701754385964	0.38596491228070173
7	0.9692982456140351	0.316374269005848	0.33040935672514626	0.31432748538011696
8	0.9631578947368421	0.3508771929824561	0.34649122807017546	0.36403508771929827
9	0.9660087719298246	0.3587719298245614	0.3508771929824561	0.37719298245614036
10	0.9682017543859649	0.3846491228070176	0.3824561403508772	0.40058479532163743
11	0.9616228070175439	0.3225146198830409	0.3260233918128655	0.33040935672514615
12	0.9769736842105263	0.3757309941520468	0.39035087719298245	0.3713450292397661
13	0.9692982456140351	0.3894736842105263	0.391812865497076	0.40058479532163743
14	0.9692982456140351	0.3684210526315789	0.36403508771929827	0.38596491228070173
