	precision	recall	f1-score	support
0	0.9752941176470589	0.9822274881516587	0.9787485242030696	844.0
1	0.7457627118644068	0.676923076923077	0.7096774193548386	65.0
accuracy	0.9603960396039604	0.9603960396039604	0.9603960396039604	0.9603960396039604
macro avg	0.8605284147557328	0.8295752825373679	0.8442129717789542	909.0
weighted avg	0.9588809808199167	0.9603960396039604	0.9595080161556163	909.0
